,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,mAP
Config 1),76.41434442,25.65739132,64.2535473,18.29100311,4.143756295,74.56503193,67.88739391,73.12360724,4.052625303,64.27018506,34.06767838,29.80819353,82.70033951,73.8831738,38.7961283,6.642803825,68.86274582,21.28267133,52.90675273,55.65467442,46.86
Config 2),60.17452553,14.00730069,13.5020871,60.00811154,4.33740788,70.08217583,60.07332998,68.70300065,15.33977807,12.74283938,65.05611602,18.4374674,64.33778268,20.9736496,67.82896391,65.15795496,69.20934932,20.92302498,12.53290648,1.213273286,39.23205226
Config 3),70.82709555,30.2992656,72.06861539,17.72480322,19.87510434,49.34325231,63.87190586,66.88448805,6.232979817,21.62091793,33.40882131,66.04829179,70.07135582,72.60753201,22.35169534,7.199807277,44.39981299,21.47486086,72.08202123,14.09859285,42.12456098
Config 4),73.96951735,65.23182521,22.62897385,9.248189321,6.72767408,35.30792517,29.96126443,34.38632834,1.239639455,22.60608897,67.85585743,25.23458438,69.23446552,32.52540577,20.77488194,58.91583843,70.02461423,23.12529859,42.8798108,2.722726051,35.73004547
Config 5),65.53870886,17.84016193,67.84069757,11.26105878,2.169322736,39.06775418,64.48963518,64.84923642,65.55557196,26.48351701,66.9186336,61.96625245,74.81797025,31.95312057,22.49290122,4.978238644,16.42292475,21.58264691,71.88930736,3.820994885,40.09693276
Config 6),27.63109359,26.21231421,19.98242498,12.79048576,58.56446529,72.36694251,62.10203433,59.04964745,59.08395483,14.81574977,62.48385183,60.49203648,60.74111848,18.63170908,68.83530677,1.718784911,13.81173771,59.11211978,69.71849027,2.589282788,41.53667754
Config 7),74.25421987,18.77598875,21.29730314,17.70881638,1.859908614,25.7016437,66.39368051,24.32633616,4.296575117,64.78415996,71.8581471,30.14804524,30.59979238,62.25485456,22.06508148,1.817552248,12.45061384,25.30542945,73.68158738,3.861444806,32.67205903
Config 8),76.80108857,16.17474217,33.2139777,18.03505393,25.17585848,31.84323216,23.15139037,64.65843542,4.901328786,22.24646153,34.45532301,39.48632968,74.07227953,23.27082107,61.53777923,6.750215941,20.24680175,25.14940066,69.84226097,2.938534221,33.69756576
Config 9),56.24609561,23.64476389,45.59912636,26.51874786,3.477215748,68.62035608,66.9939375,33.73685379,4.307034911,17.46881382,68.16144358,45.12799008,76.24687228,45.15570716,20.39537711,4.765186916,66.25860155,63.87741758,76.45361767,15.43738884,41.42462742
Config 10),72.5817091956642,62.614988858700784,22.010513869404527,18.44457453861377,65.11045583874593,33.60997416552479,65.24251412229695,44.86313060221935,15.405896546119804,65.66351765083726,28.16582885608976,63.36382648079667,70.0912278770388,30.492577328300037,11.234734032522882,9.955766921043084,64.88736343078394,18.160269429643343,68.01991975339423,64.34316709887847,44.71309782983092
Config 11),74.36571627,27.61100456,35.64591801,61.54435244,14.71402838,34.1873451,64.19117623,43.86421287,4.667937526,62.79451567,73.39982392,24.75091088,81.1249059,71.83293413,16.20652099,5.287880592,22.49449852,65.44419036,76.25803611,2.87253495,43.16292217
Config 12),70.64885780268827,19.17478568560133,60.2367520784632,30.108652523712653,2.4153263811292134,37.841705662387085,23.552585070495258,75.20412977210043,3.2466052784612365,61.21466900370136,63.29712474543177,37.4555715708574,21.55864474777099,22.236920116071822,9.052067183235222,4.032191783309136,29.582306602503287,63.83715388198388,67.80333118442022,1.8806633968736455,35.219002223559876
Config 13),63.99940956602009,26.529793387390736,20.92500324952545,20.747886948523426,7.407848169424527,40.78472509070043,48.6684994086587,71.45088282677507,4.166733013213323,36.30996217114439,25.715508296058164,66.04799572391991,80.46367543229567,38.12365724553584,25.12336754620942,15.041015241394366,63.83297953194669,65.24975616051962,73.77860921486881,4.392888936718007,39.938009858042136
Config 14),76.39979791956367,62.035389922595776,46.911738253201655,62.1588738315959,3.1398442561871804,69.63840330495263,36.610056707874335,66.83249634425836,4.03095339698631,29.567674830950146,64.1188443082197,23.384754757128853,78.11069811486088,75.34174662602162,31.184298263073263,62.60899723496328,69.60439683503596,33.902126059391804,68.66927232468183,14.85291348763944,48.95516383895913
Config 15),75.98962366002519,74.21572929128139,67.07236709987244,64.7015523984541,4.655867061263316,72.7081874278687,64.52664754762003,68.68355852043408,3.603679679503831,33.67059953241342,23.37282166893811,33.95166424367164,77.18506164647872,71.4744769782791,64.8632034080068,3.2157656584749916,23.113440149877885,67.54218736493203,73.58044639293233,59.3477493841776,51.37373145572528
